menu_lang,zh_TW,zh_CN,en_US,vi_VN,ja_JP,ko_KR,th_TH,id_ID
nft_info_teach_subtitle_1_content_q_5,可以使用哪些加密錢包？,可以使用哪些加密钱包？,Which crypto wallets are available?,Có thể sử dụng được những ví tiền điện tử nào?,どんな暗号資産ウォレットを使えますか？,어떤 기밀 지갑이 사용 가능할까요？,Which crypto wallets are available?,Dompet kripto mana saja yang bisa digunakan?
nft_info_teach_subtitle_1_content_a_5,目前有許多加密錢包的服務商可供使用選擇，可以多嘗試幾種不同的加密錢包找到適合您的方式，以下QPP提供幾種目前市面上大家常用的錢包供參考。,目前有许多加密钱包的服务商可供使用选择，可以多尝试几种不同的加密钱包找到适合您的方式，以下QPP提供几种目前市面上大家常用的钱包供参考。,"目We are providing many kinds of crypto wallets of choice, you could find the one suitable for your usage, here provide several crypto wallets SOP that is commonly used in the market for reference.","Hiện tại, có rất nhiều nhà cung cấp dịch vụ về ví tiền mã hóa để bạn lựa chọn, bạn có thể thử nhiều loại ví mã hóa khác nhau để tìm ra cách phù hợp với mình, sau đây là một số ví được QPP cung cấp sử dụng phổ biến trên thị trường để bạn tham khảo.",現在、たくさんの暗号資産ウォレットが選べます。下記にQPPが提供しているいくつよく使われているウォレットを参照し、色々試すことで最も似合うなウォレットを選べます。,현재 많은 기밀 지갑의 서비스 사업자들이 있으며 여러 가지의 기밀 지갑을 사용을 통해 자신에 맞는 방식을 찾을 수 있습니다.아래는 QPP에서 사용들이 흔히 사용하는 기밀 지갑이며 참고로 몇 가지를 제공드립니다.,"目We are providing many kinds of crypto wallets of choice, you could find the one suitable for your usage, here provide several crypto wallets SOP that is commonly used in the market for reference.","Saat ini, ada banyak penyedia layanan dompet terenkripsi yang dapat dipilih. Anda dapat mencoba beberapa dompet terenkripsi yang berbeda untuk menemukan cara yang cocok untuk Anda. QPP berikut menyediakan beberapa dompet yang umum digunakan untuk referensi."
nft_info_teach_subtitle_2,二、匯入燃料費教學,二、汇入燃料费教学,2. Import fuel cost teaching,2. Hướng dẫn cách nhập tiền qua,二、入ってくる燃料費を教える,2. 수입 입금 튜토리얼,2. Import fuel cost teaching,2. Tutorial deposit
nft_info_teach_subtitle_2_content_teach_1,Metamask mobile 燃料費教學,Metamask mobile 燃料费教学,Metamask mobile fuel cost teaching,Hướng dẫn cách nhập tiền qua Metamask mobile,Metamask mobile 燃料費を教える,Metamask mobile 입금 튜토리얼,Metamask mobile fuel cost teaching,Tutorial deposit Metamask mobile
nft_info_teach_subtitle_2_content_teach_1_content_step_1,1. 開啟Metamask app，於首頁或側邊欄點擊『發送』鍵進入,1. 开启Metamask app，于首页或侧边栏点击发送键进入,"1. Open Metamask app, Click the send button on the homepage or sidebar to enter.","1. Mở ứng dụng Metamask, nhấp vào nút gửi trên trang chủ hoặc thanh bên để nhập",1. Metamask appを開いて、トップページやハンバーガーボタンで発送のボタンをタップします,1. Metamask app을 열린 후에 메인 페이지 또는 옆에 발송 버튼을 클릭하여 진입,"1. Open Metamask app, Click the send button on the homepage or sidebar to enter.","1. Buka aplikasi Metamask, klik tombol kirim di beranda atau bilah sisi untuk masuk"
nft_info_teach_subtitle_2_content_teach_1_content_step_2,2. 填寫發送的地址(To)，發送地址請填寫QPP的公共地址，可使用『複製』功能，複製QPP上的跨境燃料費的公共地址,2. 填写发送的地址(To)，发送地址请填写QPP的公共地址，可使用复制功能，复制QPP上的跨境燃料费的公共地址,"2. Please fill in the QPP Public address(To:), we provide a copy function to avoid the typo.","2. Điền địa chỉ gửi (To), vui lòng điền địa chỉ công khai của QPP cho địa chỉ gửi đi, bạn có thể sử dụng chức năng copy, để sao chép địa chỉ công khai phí nhiên liệu xuất cảnh trên QPP.",2. QPPの公共アドレスである発送のアドレス（To）を入力します。QPPの国境を超える手数料の公共アドレスをコピーしても問題ありません。,2. 발송 주소를 입력 필요 하며 (To) 발송 주소는 QPP공용 주소를 입력하시면 됩니다. 복사 기능을 사용하여 크로스 연료비에 있는 공용 주소를 복사하기,"2. Please fill in the QPP Public address(To:), we provide a copy function to avoid the typo.","2. Isi alamat pengirim (To), silahkan isi alamat publik QPP untuk alamat pengirim, anda bisa menggunakan fungsi copy untuk menyalin alamat publik biaya bahan bakar lintas batas di QPP"
nft_info_teach_subtitle_2_content_teach_1_content_step_3,3. 輸入需要於QPP使用的以太幣數量,3. 输入需要于QPP使用的以太币数量,3. Enter the ETH quantity to QPP.,3. Nhập số lượng Ether sẽ được sử dụng trong QPP,3. QPPで使うイーサの数量を入力します,3. QPP에서 사용할 이더리움 수량을 입력,3. Enter the ETH quantity to QPP.,3. Masukkan jumlah Ethereum yang akan digunakan di QPP
nft_info_teach_subtitle_2_content_teach_1_content_step_4,4. 確認發送的相關資訊，公共地址與發送的金額，點擊『發送』後等待錢包交易完成,4. 确认发送的相关资讯，公共地址与发送的金额，点击发送后等待钱包交易完成,"4. Confirm the relevant information sent, the public address and the amount sent, click Send and wait for the wallet transaction to complete.","4. Xác nhận thông tin gửi liên quan, địa chỉ công khai và số tiền gửi đi, nhấp vào Gửi và đợi ví giao dịch hoàn tất",4. アドレスと金額を確認すると、発送ボタンをタップし、取引が完了まで待ちます,"4. 발송할 공용 주소,금액등 관련 정보들을 확인 후에 발송 버튼을 클릭하여 지갑 거래 완료되는것을 확인되면 QPP를 열려서 정상 접수되는지를 확인","4. Confirm the relevant information sent, the public address and the amount sent, click Send and wait for the wallet transaction to complete.","4. Konfirmasikan informasi terkait yang akan dikirim, alamat publik dan jumlah yang dikirim, klik Kirim dan tunggu transaksi dompet selesai, dan konfirmasi bahwa ada catatan transaksi yang selesai di dompet, Anda dapat membuka QPP untuk mengonfirmasi apakah sudah diterima"
nft_info_teach_subtitle_2_content_teach_1_content_step_5,5. 可於錢包的『交易歷史紀錄』，確認交易進度，確認有發送成功可開啟QPP確認是否收到,5. 可于钱包的交易纪录，确认交易进度，确认有发送成功可开启QPP确认是否收到,"5. If the trade is complete, you could check the wallet record and status in QPP.","5. Bạn có thể kiểm tra tiến độ của  giao dịch trong bản ghi nhớ giao dịch của ví và xác nhận rằng quá trình chuyển đi  thành công, bạn có thể mở QPP để xác nhận xem mình đã nhận được chưa.",5. ウォレットの取引記録で取引の状態を発送成功と確認したらQPPでチェックできます,5. QPP를 열려서 정상 접수되는지를 확인,"5. If the trade is complete, you could check the wallet record and status in QPP.","5. Buka Metamask PC, klik kirim (jika tidak ada, Anda dapat mencari unduhan Metamask di plug-in browser Chrome)"
nft_info_teach_subtitle_2_content_teach_2,Metamask PC 燃料費教學,Metamask PC 燃料费教学,Metamask PC fuel cost teaching,Hướng dẫn nhập tiền qua Metamask trên PC,Metamask PC 燃料費を教える,Metamask PC 입금 튜토리얼,Metamask PC fuel cost teaching,Tutorial deposit Metamask PC
nft_info_teach_subtitle_2_content_teach_2_content_step_1,1. 開啟Metamask PC，點擊發送（如沒有可於Chrome瀏覽器外掛搜尋Metamask下載),1. 开启Metamask PC，点击发送（如没有可于Chrome浏览器外挂搜寻Metamask下载),"1. Open Metamask PC, Click Send. (If not, you can extension search for Metamask download in the Chrome browser)","1. Mở Metamask bằng PC, nhấp vào gửi đi (nếu không, bạn có thể tìm kiếm tải xuống Metamask trong nền tảng của trình duyệt Chrome) ",1. Metamask PCを開いて、発送ボタンをタップします（ない場合、Chromeの拡張機能でMetamaskを検索してダウンロードします),1. Metamask PC를 열려서 발송 버튼을 클릭（없을 경우에는 Chrome웹 브라우저에서 Metamask를 검색하여 다운로드 가능),"1. Open Metamask PC, Click Send. (If not, you can extension search for Metamask download in the Chrome browser)","1. Buka Metamask PC, klik kirim (jika tidak ada, Anda dapat mencari unduhan Metamask di plug-in browser Chrome)"
nft_info_teach_subtitle_2_content_teach_2_content_step_2,2. 填寫發送的地址，發送地址請填寫QPP的公共地址，如PC版有相機功能也可開啟掃描做辨識,2. 填写发送的地址(To)，发送地址请填写QPP的公共地址，如PC版有相机功能也可开启扫描做辨识,"2. Please fill in the QPP Public address(To:), we provide a scan, if the pc version available on camera function.","2. Điền địa chỉ gửi đi (To),địa chỉ gửi đi vui lòng điền địa chỉ công khai của QPP. Nếu phiên bản PC có chức năng camera, bạn cũng có thể bật tính năng quét để nhận dạng.",2. QPPの公共アドレスである発送のアドレス（To）を入力します。PCバージョンのカメラ機能でQR Codeをスキャンしても問題ありません。,2. 발송 주소는 QPP의 공용 주소로 입력하며(To) PC에 카메라 기능이 있을 경우 열려서 스캔을 통해 식별 가능.,"2. Please fill in the QPP Public address(To:), we provide a scan, if the pc version available on camera function.","2. Isi alamat pengirim (To), silahkan isi alamat publik QPP untuk alamat pengirim. Jika versi PC memiliki fungsi kamera, anda juga dapat mengaktifkan pemindaian untuk identifikasi."
nft_info_teach_subtitle_2_content_teach_2_content_step_3,3. 確認發送地址與需要的以太幣數量,3. 确认发送地址与需要的以太币数量,3. Check the address information and enter the ETH quantity to QPP.,3. Xác nhận địa chỉ gửi đi và số lượng ether cần chuyển,3. アドレスと需要なイーサの数量を確認します,3. 발송할 주소 및 필요할 이더리움 수량 확인,3. Check the address information and enter the ETH quantity to QPP.,3. Konfirmasikan alamat pengiriman dan jumlah Ethereum yang diperlukan
nft_info_teach_subtitle_2_content_teach_2_content_step_4,4. 確認發送的相關資訊，公共地址與發送的金額，點擊『確認』後等待錢包交易完成,4. 确认发送的相关资讯，公共地址与发送的金额，点击确认后等待钱包交易完成,"4. Confirm the relevant information sent, the public address and the amount sent, click Send and wait for the wallet transaction to complete.","4. Xác nhận thông tin liên quan được gửi đi, địa chỉ công khai và số tiền đã gửi, nhấp vào xác nhận và đợi ví giao dịch hoàn tất.",4. アドレスと金額を確認すると、確認ボタンをタップし、取引を完了まで待ちます,"4. 발송할 공용 주소,금액등 관련 정보들 확인 후에 확인 버튼을 클릭하여 지갑 거래 완료될 때까지 대기","4. Confirm the relevant information sent, the public address and the amount sent, click Send and wait for the wallet transaction to complete.","4. Konfirmasikan informasi terkait yang dikirim, alamat publik dan jumlah yang dikirim, klik Konfirmasi dan tunggu transaksi dompet selesai "
nft_info_teach_subtitle_2_content_teach_2_content_step_5,5. 可於錢包的交易紀錄，確認交易進度，確認有發送成功可開啟QPP確認是否收到,5. 可于钱包的交易纪录，确认交易进度，确认有发送成功可开启QPP确认是否收到,"5. If the trade is complete, you could check the wallet record and status in QPP.","5. Bạn có thể kiểm tra tiến trình giao dịch trong hồ sơ giao dịch của ví, xác nhận quá trình chuyển đi thành công, bạn có thể mở QPP để xác nhận đã nhận được hay chưa.",5. ウォレットの取引記録で取引の状態を発送成功と確認したらQPPでチェックできます,"5. 발송할 공용 주소,금액등 관련 정보들 확인 후에 확인 버튼을 클릭하여 지갑 거래 완료될 때까지 대기","5. If the trade is complete, you could check the wallet record and status in QPP.","5. Anda dapat memeriksa kemajuan transaksi di catatan transaksi dompet, dan mengonfirmasi bahwa transfer berhasil. Anda dapat membuka QPP untuk mengonfirmasi apakah Anda telah menerimanya atau belum"
nft_info_teach_subtitle_2_content_teach_3,Trust Wallet 燃料費教學,Trust Wallet 燃料费教学,Trust Wallet fuel cost teaching,Hướng cách nạp tiền qua Trust Wallet,Trust Wallet 燃料費を教える,Trust Wallet 입금 튜토리얼,Trust Wallet fuel cost teaching,Tutorial deposit Trust Wallet
nft_info_teach_subtitle_2_content_teach_3_content_step_1,1. 點選以太幣,1. 点选以太币,1. Chose Ethereum.,1. Nhấp vào Ethereum,1. イーサをクリックします,1. 이더리움을 클릭,1. Chose Ethereum.,1. Klik Ethereum
nft_info_teach_subtitle_2_content_teach_3_content_step_2,2. 按下發送,2. 按下发送,2. Click send.,2. Nhấn gửi đi,2. 発送ボタンをタップします,2. 발송 버튼을 클릭,2. Click send.,2. Tekan kirim
nft_info_teach_subtitle_2_content_teach_3_content_step_3,3. 輸入(掃描)QPP地址及欲入境之以太幣數量,3. 输入(扫描)QPP地址及欲入境之以太币数量,3. Enter(Scan) QPP address and the ETH Quantity.,3. Nhập (quét mã) địa chỉ QPP và số lượng ETH bạn muốn nhập,3. QPPアドレスと入国させたいイーサの数量を入力（スキャン）します,3. QPP주소 및 반입할 이더리움 수량을 입력(스캔),3. Enter(Scan) QPP address and the ETH Quantity.,3. Masukkan (scan) alamat QPP dan jumlah ETH yang ingin Anda masukkan
nft_info_teach_subtitle_2_content_teach_3_content_step_4,4. 確認列表上的資訊以完成轉帳,4. 确认列表上的资讯以完成转帐,4. Confirm the information before transfer.,4. Xác nhận thông tin trên danh sách để hoàn tất việc chuyển khoản,4. リストの情報を確認したら振込完了です,4. 출력된 정보들 확인하여  대체하기,4. Confirm the information before transfer.,4. Konfirmasikan informasi pada daftar untuk menyelesaikan transfer
nft_info_teach_subtitle_3,三、入境,三、入境,3. Immigrate,3. Nhập cảnh,三、入国,3. 반입,3. Immigrate,3. Masuk
nft_info_teach_subtitle_3_content_q_1,公共地址為何？,公共地址为何？,What’s the public adddress?,Địa chỉ công khai là gì?,公共アドレスとは何ですか？,공용 주소가 무엇일까요？,What’s the public adddress?,Apakah alamat publik itu?
nft_info_teach_subtitle_3_content_a_1,跨境燃料費頁面中所顯示的QR code與地址，為專屬您入境QPP(從其他鏈將物品匯回QPP)的公共地址。,跨境燃料费页面中所显示的QR code与地址，为专属您入境QPP(从其他链将物品汇回QPP)的公共地址。,The cross-border fee page shows the QR Code and address that is the public address to immigrate to the QPP.,Mã QR và địa chỉ hiển thị trên trang phí nhiên liệu nhập cảnh là địa chỉ công khai của QPP khi nhập cảnh (từ cách chuỗi khác chuyển các mặt hàng đến QPP).,国境を超える手数料ページに表示したQR codeとアドレスはQPPに入国する（他のチェーンからQPPにインポートする）ための公共アドレスです。,크로스 연료비 페이지에 표시된QR code와 주소는QPP(다른 체인에서 QPP로 물건을 송금) 의 공용 주소로 반입하기 위해 사용됩니다.,The cross-border fee page shows the QR Code and address that is the public address to immigrate to the QPP.,Kode QR dan alamat yang ditampilkan di halaman biaya bahan bakar lintas batas adalah untuk alamat publik untuk masuk ke QPP (Kirim item dari rantai lain kembali ke QPP)
nft_info_teach_subtitle_3_content_teach_2,Opensea 入境教學,Opensea 入境教学,Opensea Immigrate Teaching,Opensea giảng bài Nhập cảnh,Openseaを教える入国,Opensea 반입 가르치는,Opensea Immigrate Teaching,Tutorial Masuk Opensea
nft_info_teach_subtitle_3_content_teach_2_content_step_1,1. 選擇物品，點選『Transfer』，並輸入QPP之地址即可入境QPP。,1. 选择物品，点选transfer，并输入QPP之地址即可入境QPP。,"1. Opensea: Choose the item, click transfer and enter QPP’s address to complete the immigration process.","1. Opensea: Chọn mặt hàng, nhấp chuyển khoản và nhập địa chỉ của QPP nhập cảnh vào QPP.",1. Opensea：商品を選んで、transferをタップし、QPPのアドレスを入力すると入国できます。,1. Opensea：물건을 선택 후에 transfer를 클릭하여 QPP의 주소를 입력하면 바로 QPP로 반입 가능,"1. Opensea: Choose the item, click transfer and enter QPP’s address to complete the immigration process.","1. Opensea: Pilih item, klik transfer, dan masukkan alamat QPP untuk masuk ke QPP."
nft_info_teach_subtitle_3_content_teach_2_content_step_2,2. 確認燃料費，並點選『Confirm』。,2. 确认燃料费，并点选『Confirm』。,"2. Check the fuel fee, click confirm.",2. Xác nhận chi phí nhiên liệu và nhấp vào OK.,2. 手数料をチェックし、確認をクリックします。,2. 연료비를 확인하여 확인 버튼을 클릭,"2. Check the fuel fee, click confirm.",2. Konfirmasi biaya bahan bakar dan klik Konfirmasi.
nft_info_teach_subtitle_3_content_teach_2_content_step_3,3. 確認成功。,3. 确认成功。,3. Confirm the transaction secceeded.,3. Xác nhận thành công.,3. 確認成功。,3. 확인 성공,3. Confirm the transaction secceeded.,3. Konfirmasikan keberhasilan.
nft_info_teach_subtitle_3_content_teach_2_content_step_3_tip,＊請注意，只有在QPP創建之物品才會出現在QPP。,＊请注意，只有在QPP创建之物品才会出现在QPP。,＊Note: Only the QPP-created item will be shown in the QPP.,＊Xin lưu ý rằng chỉ những vật phẩm được tạo trong QPP mới xuất hiện trong QPP.,＊QPPで発行した商品のみQPPに表示されるので、ご注意ください。,＊QPP에서 생성된 물건들만 QPP에 출현되는것을 주의하십시오.,＊Note: Only the QPP-created item will be shown in the QPP.,＊Harap diperhatikan bahwa hanya item yang dibuat di QPP yang akan muncul di QPP.
forum_title,討論區管理規範,讨论区管理规范,Forum Guideline & Regulation,Phạm vi quản lý khu diễn đàn thảo luận,掲示板管理規制,토론 존 관리 규범,Forum Guideline & Regulation,Forum Guideline & Regulation
forum_summary,歡迎您使用QPP平台(下稱「本平台」)的討論區，為打造一個健康、友善的討論區，請您務必詳閱並遵守以下規範，如果您有違反本規範的情形，我們可能會終止您一部分或全部的服務（包括但不限於暫停您發文的功能、限制帳號部分或全部功能、永久終止契約等），並且可能會採取適當的法律途徑救濟。<br />若您違反本規範而引起第三人申訴或訴訟索賠，您應自行處理並承擔相關責任；若因您的行為導致本平台遭第三人請求賠償或受國家機關處罰，您應賠償因此所受到的損失（包括但不限於商譽損失、經濟損失、裁判費、律師費等）。,欢迎您使用QPP平台(下称「本平台」)的讨论区，为打造一个健康、友善的讨论区，请您务必详阅并遵守以下规范，如果您有违反本规范的情形，我们可能会终止您一部分或全部的服务（包括但不限于暂停您发文的功能、限制帐号部分或全部功能、永久终止契约等），并且可能会采取适当的法律途径救济。<br />若您违反本规范而引起第三人申诉或诉讼索赔，您应自行处理并承担相关责任；若因您的行为导致本平台遭第三人请求赔偿或受国家机关处罚，您应赔偿因此所受到的损失（包括但不限于商誉损失、经济损失、裁判费、律师费等）。,"Welcome to the QPP forum (“The Platform”in the following statement), our goal is to build a healthy and friendly forum, so please carefully read and follow the regulations as follows. If you violate the regulations, we might terminate partial or all the services to you (including but not limited to temporarily  terminate your post function, limit partial or all the functions of your account, permanent contract termination, and etc.), and take the proper legal action.<br />If you violate this regulations, and cause the third person to lodge an appeal or take legal action for compensation, you realize that you should deal with it on your own and take the related responsibilities ; If your action cause the third person to ask The Platform for compensation or cause government departments and agencies to punish The Platform, you should compensate for the loss (including but not limited to business reputation loss, economic loss, court cost, lawyer cost, and etc.).","Hoan nghênh bạn sử dụng khu vực thảo luận của nền tảng QPP (sau đây được gọi là ""nền tảng""), để tạo ra một khu vực thảo luận lành mạnh và thân thiện, vui lòng đảm bảo đọc và tuân thủ các phạm vi như sau. Nếu bạn vi phạm phạm trù này, chúng tôi có thể chấm dứt một phần hoặc tất cả các dịch vụ của bạn (bao gồm nhưng không giới hạn chỉ ở  việc đình chỉ chức năng đăng bài của bạn, hạn chế một phần hoặc tất cả các chức năng của tài khoản của bạn, chấm dứt hợp đồng vĩnh viễn, v.v.), và có thể các biện pháp pháp lý thích hợp<br />Nếu bạn vi phạm quy tắc này và gây ra khiếu nại hoặc kiện tụng của bên thứ ba, bạn nên tự xử lý và chịu trách nhiệm liên quan; Nếu hành vi của bạn khiến nền tảng bị bên thứ ba yêu cầu bồi thường hoặc bị cơ quan nhà nước xử phạt, bạn phải bồi thường thiệt hại tổn thất (bao gồm nhưng không giới hạn chỉ ở tổn thất uy tín danh tiếng, tổn thất kinh tế, phí tư pháp, phí luật sư, v.v.).",QPPプラットフォーム（以下「当プラットフォーム」といいます）の掲示板をご利用いただきありがとうございます。<br />健全で親しみやすい掲示板を作るために、必ず以下の事項をお読みいただき、遵守してください。当該規制に違反した場合、サービスの一部またはすべてを中止する可能性があります（投稿機能の一時停止、アカウントの一部またはすべての機能停止、契約の完全終了などを含むがこれらに限られてない）。適切な法的手段を使い、弁償してもらう場合もあります。<br />当該規制に違反し、第三者の苦情または訴訟の申し立てを引き起こした場合は、自分自身で対処し、関連する責任を負うものとします。行動によって当プラットフォームが第三者に弁償を要求されたり、政府期間に罰せられたりする場合は、これらの損失を負うものとします（のれんの損失、経済的損失、司法費用、弁護士費用などを含みますが、これらに限定されません）。,"QPP플랫폼에 있는(이하「본 플랫폼」이라고 함)토론존을 이용하신것을 환영합니다. 친절하고 건강한 토론존을 만들기 위해 아래 규범을 부디 자세히 열독하여 준수 해주세요.본 규범을 위반하실 경우에는 제공해드린 일부 혹은 전부 서비스를 중지되며（게시 기능 중지, 계정 기능의 일부 또는 전체 제한, 계약 영구 해지 등을 포함하되 이에 국한되지 않습니다.）적절한 법대로 관련 처치를 취할것입니다. ","Welcome to the QPP forum (“The Platform”in the following statement), our goal is to build a healthy and friendly forum, so please carefully read and follow the regulations as follows. If you violate the regulations, we might terminate partial or all the services to you (including but not limited to temporarily  terminate your post function, limit partial or all the functions of your account, permanent contract termination, and etc.), and take the proper legal action.<br />If you violate this regulations, and cause the third person to lodge an appeal or take legal action for compensation, you realize that you should deal with it on your own and take the related responsibilities ; If your action cause the third person to ask The Platform for compensation or cause government departments and agencies to punish The Platform, you should compensate for the loss (including but not limited to business reputation loss, economic loss, court cost, lawyer cost, and etc.).","Welcome to the QPP forum (“The Platform”in the following statement), our goal is to build a healthy and friendly forum, so please carefully read and follow the regulations as follows. If you violate the regulations, we might terminate partial or all the services to you (including but not limited to temporarily  terminate your post function, limit partial or all the functions of your account, permanent contract termination, and etc.), and take the proper legal action.<br />If you violate this regulations, and cause the third person to lodge an appeal or take legal action for compensation, you realize that you should deal with it on your own and take the related responsibilities ; If your action cause the third person to ask The Platform for compensation or cause government departments and agencies to punish The Platform, you should compensate for the loss (including but not limited to business reputation loss, economic loss, court cost, lawyer cost, and etc.)."
forum_subtitle_1,一、使用者行為規範,一、使用者行为规范,Ⅰ. User Behavior Regulation,1. Pham vị hành vi của người dùng,1. ユーザ行為規範,1. 사용자 행위 규범,Ⅰ. User Behavior Regulation,Ⅰ. User Behavior Regulation
forum_text_1,<p>您不得利用本平台或本討論區進行任何危害電腦網路安全或其他侵權違法的行為，包括但不限於：</p><ol><li>非法侵入、干擾、竊取他人網路等危害網路安全的行為。</li><li>提供從事侵入、干擾、竊取他人網路正常功能的程式、工具。</li><li>明知他人從事危害網路安全的活動，仍為其提供技術支持、廣告推廣、支付結算等幫助。</li><li>傳播惡意程式、病毒或其它實施可能影響本平台或網路安全的行為。</li><li>偽造TCP/IP資料包名稱。</li><li>進行逆向工程、編譯或其他進行挖掘原始碼之行為。</li><li>違反法律、政府法規或有其他侵犯第三人權利之行為。</li></ol>,<p>您不得利用本平台或本讨论区进行任何危害电脑网路安全或其他侵权违法的行为，包括但不限于：</p><ol><li>非法侵入、干扰、窃取他人网路等危害网路安全的行为。</li><li>提供从事侵入、干扰、窃取他人网路正常功能的程式、工具。</li><li>明知他人从事危害网路安全的活动，仍为其提供技术支持、广告推广、支付结算等帮助。</li><li>传播恶意程式、病毒或其它实施可能影响本平台或网路安全的行为。</li><li>伪造TCP/IP资料包名称。</li><li>进行逆向工程、编译或其他进行挖掘原始码之行为。</li><li>违反法律、政府法规或有其他侵犯第三人权利之行为。</li></ol>,"<p>You cannot use this platform or forum to do any computer network security attacks or infringement activities, including but not limited to ;</p><ol><li>Activities that might threaten network security of others like network intrusion, jamming, and stealing.</li><li>Providing programs or tools that can intrude, jam, or steal the normal network functions of others.</li><li>Providing technology support, advertisement promotion,  and payment settlement for third person, after knowing about the network security threat activities of  the third person. </li><li>Spread of malware and viruses, or do any activities that can threaten The Platform or network security.</li><li>Counterfeiting TCP/IP data packet name.</li><li>Activities like Reverse Code Engineering, code converting, and other source code mining.</li><li>Violating the laws, government regulations, or doing any activities that violate the rights of third person.</li></ol>","<p>Bạn không được phép sử dụng nền tảng này hoặc diễn đàn này để thực hiện bất kỳ hành vi nào gây nguy hiểm cho an ninh mạng máy tính hoặc các hành vi xâm phạm khác, bao gồm nhưng không giới hạn ở:</p><ol><li>Các hành vi gây nguy hiểm cho an ninh mạng như xâm nhập bất hợp pháp, can thiệp và đánh cắp mạng của người khác.</li><li>Cung cấp các chương trình và công cụ để xâm nhập, can thiệp và ăn cắp các chức năng thường của mạng người khác.</li><li>Biết rằng những người khác khi tham gia vào các hoạt động gây nguy hiểm cho an ninh mạng,nhưng vẫn cung cấp hỗ trợ kỹ thuật, xúc tiến quảng cáo, thanh toán và các hỗ trợ khác.</li><li>Phát tán các chương trình độc hại, vi rút hoặc các hành động khác có thể ảnh hưởng đến bảo mật của nền tảng này hoặc Internet.</li><li>Giả mạo tên gói TCP / IP.</li><li>Thao tác trái ngược lập trình, biên dịch hoặc các hành vi khai thác mã nguồn khác.</li><li>Vi phạm luật, quy định của chính phủ hoặc các vi phạm khác về quyền của bên thứ ba.</li></ol>",<p>当プラットフォームまたは掲示板を使用して、コンピュータネットワークのセキュリティに危険にさらすことまたはその他の侵害行為を禁止するものとします。以下事項が含まれますが、これらに限られてません。</p><ol><li>違法な侵入、干渉、他人のネットワークの盗難など、ネットワークのセキュリティを危険にさらすこと。</li><li>他人のネットワークの通常機能に侵入、干渉、および盗むためのプログラムとツールを提供すること。</li><li>他人がネットワークのセキュリティを危険にさらす行動を実行していることが知りつつ、技術サポート、広告宣伝、支払い決済など手伝いを提供すること。</li><li>当プラットフォームまたはネットワークのセキュリティに影響を与える可能性のある悪意プログラム、ウイルス拡散、またはその他のアクションをとること。</li><li>TCP / IPパケット名を偽造すること。</li><li>ソースコードをリバースエンジニアリング、コンパイル、またはその他の解読を行うこと。</li><li>法律、政府規制、またはその他の第三者の権利を侵害すること。</li></ol>,"<p>본 플랫폼 또는 본 포럼을 사용하여 컴퓨터 네트워크 보안 또는 기타 침해를 위험에 빠뜨리는 행위를 수행 할 수 없습니다.<br />포함하되 이에 국한되지 않습니다：</p><ol><li>비법적 침입, 간섭, 다른 사람의 네트워크 도용 및 네트워크 보안을 위협하는 기타 행위.</li><li>타인 네트워크의 정상적인 기능을 침해, 방해 및 훔치기 위한 프로그램 및 도구를 제공합니다.</li><li>다른 사람들이 네트워크 보안을 위협하는 활동에 참여하고 있음을 알고 있지만 여전히 기술 지원, 광고 홍보, 지불 및 결제 지원을 제공합니다.</li><li>본 플랫폼 또는 네트워크의 보안에 영향을 미칠 수있는 악성 프로그램, 바이러스 또는 기타 구현을 전파합니다.</li><li>TCP / IP 패킷 이름을 위조합니다.</li><li>리버스 엔지니어링, 컴파일 또는 기타 마이닝 소스 코드를 파는 행위.</li><li>법률, 정부 규정 위반 또는 기타 제 3 자의 권리 침범등 행위.</li></ol>","<p>You cannot use this platform or forum to do any computer network security attacks or infringement activities, including but not limited to ;</p><ol><li>Activities that might threaten network security of others like network intrusion, jamming, and stealing.</li><li>Providing programs or tools that can intrude, jam, or steal the normal network functions of others.</li><li>Providing technology support, advertisement promotion,  and payment settlement for third person, after knowing about the network security threat activities of  the third person. </li><li>Spread of malware and viruses, or do any activities that can threaten The Platform or network security.</li><li>Counterfeiting TCP/IP data packet name.</li><li>Activities like Reverse Code Engineering, code converting, and other source code mining.</li><li>Violating the laws, government regulations, or doing any activities that violate the rights of third person.</li></ol>","<p>You cannot use this platform or forum to do any computer network security attacks or infringement activities, including but not limited to ;</p><ol><li>Activities that might threaten network security of others like network intrusion, jamming, and stealing.</li><li>Providing programs or tools that can intrude, jam, or steal the normal network functions of others.</li><li>Providing technology support, advertisement promotion,  and payment settlement for third person, after knowing about the network security threat activities of  the third person. </li><li>Spread of malware and viruses, or do any activities that can threaten The Platform or network security.</li><li>Counterfeiting TCP/IP data packet name.</li><li>Activities like Reverse Code Engineering, code converting, and other source code mining.</li><li>Violating the laws, government regulations, or doing any activities that violate the rights of third person.</li></ol>"
forum_subtitle_2,二、發文內容規範,二、发文内容规范,Ⅱ. Posting Regulation,2. Phạm vi nội dung đăng bài,2. 投稿コンテンツ規範,2. 게시물 내용 규범,Ⅱ. Posting Regulation,Ⅱ. Posting Regulation
